league,season,date,home_team,away_team,hometeamgoals,awayteamgoals,hometeamresult,home_team_points,away_team_points,OddHome,OddDraw,OddAway
bundesliga,2024,2024-11-09,STP,BAY,0.0,1.0,-1,0.0,3.0,11.42,6.92,1.23
bundesliga,2024,2024-11-09,WERB,HOLK,2.0,1.0,1,3.0,0.0,1.64,4.3,4.93
bundesliga,2024,2024-11-09,RBL,M'G,0.0,0.0,0,1.0,1.0,1.59,4.59,5.08
bundesliga,2024,2024-11-08,UNI,FRE,0.0,0.0,0,1.0,1.0,2.52,3.18,3.04
bundesliga,2024,2024-11-03,FRE,MAI,0.0,0.0,0,1.0,1.0,1.7,3.95,4.84
bundesliga,2024,2024-11-03,M'G,WERB,4.0,1.0,1,3.0,0.0,2.1,3.87,3.18
bundesliga,2024,2024-11-02,BAY,UNI,3.0,0.0,1,3.0,0.0,1.17,7.97,15.38
bundesliga,2024,2024-11-02,EINF,BOC,7.0,2.0,1,3.0,0.0,1.33,5.88,8.06
bundesliga,2024,2024-11-02,HOF,STP,0.0,2.0,-1,0.0,3.0,1.88,3.91,3.9
bundesliga,2024,2024-11-02,HOLK,HEI,1.0,0.0,1,3.0,0.0,2.79,3.49,2.51
bundesliga,2024,2024-11-02,WOB,AUG,1.0,1.0,0,1.0,1.0,2.01,3.83,3.53
bundesliga,2024,2024-11-02,DOR,RBL,2.0,1.0,1,3.0,0.0,2.25,3.77,3.03
bundesliga,2024,2024-11-01,LEVK,STU,0.0,0.0,0,1.0,1.0,1.56,4.8,5.16
bundesliga,2024,2024-10-27,BOC,BAY,0.0,5.0,-1,0.0,3.0,14.44,9.35,1.15
bundesliga,2024,2024-10-27,UNI,EINF,1.0,1.0,0,1.0,1.0,2.58,3.37,2.76
bundesliga,2024,2024-10-27,HEI,HOF,0.0,0.0,0,1.0,1.0,2.29,3.65,2.98
bundesliga,2024,2024-10-26,AUG,DOR,2.0,1.0,1,3.0,0.0,3.73,3.96,1.91
bundesliga,2024,2024-10-26,RBL,FRE,3.0,1.0,1,3.0,0.0,1.73,4.12,4.52
bundesliga,2024,2024-10-26,STP,WOB,0.0,0.0,0,1.0,1.0,2.61,3.46,2.68
bundesliga,2024,2024-10-26,STU,HOLK,2.0,1.0,1,3.0,0.0,1.23,7.14,10.95
bundesliga,2024,2024-10-26,WERB,LEVK,2.0,2.0,0,1.0,1.0,5.64,4.9,1.51
bundesliga,2024,2024-10-25,MAI,M'G,1.0,1.0,0,1.0,1.0,2.35,3.76,2.86
bundesliga,2024,2024-10-20,HOLK,UNI,0.0,2.0,-1,0.0,3.0,3.44,3.42,2.16
bundesliga,2024,2024-10-20,WOB,WERB,2.0,4.0,-1,0.0,3.0,2.07,3.66,3.44
bundesliga,2024,2024-10-19,FRE,AUG,3.0,1.0,1,3.0,0.0,1.74,3.91,4.75
bundesliga,2024,2024-10-19,HOF,BOC,3.0,1.0,1,3.0,0.0,1.7,4.44,4.38
bundesliga,2024,2024-10-19,LEVK,EINF,2.0,1.0,1,3.0,0.0,1.45,5.04,6.32
bundesliga,2024,2024-10-19,MAI,RBL,0.0,2.0,-1,0.0,3.0,4.04,3.83,1.88
bundesliga,2024,2024-10-19,M'G,HEI,3.0,2.0,1,3.0,0.0,1.85,3.8,4.21
