league,season,team,first_half_pts,second_half_pts
Bundesliga,2010,EINF,5.882352941176471,5.882352941176471
Bundesliga,2010,FRE,52.94117647058824,52.94117647058824
Bundesliga,2010,HAM,58.82352941176471,58.82352941176471
Bundesliga,2010,HAN,82.3529411764706,82.3529411764706
Bundesliga,2010,HOF,41.1764705882353,41.1764705882353
Bundesliga,2010,KAI,64.70588235294117,64.70588235294117
Bundesliga,2010,KOL,47.05882352941177,47.05882352941177
Bundesliga,2010,LEVK,94.11764705882354,94.11764705882354
Bundesliga,2010,M'G,11.764705882352942,11.764705882352942
Bundesliga,2010,MAI,76.47058823529412,76.47058823529412
Bundesliga,2010,NUR,70.58823529411765,70.58823529411765
Bundesliga,2010,SCH,23.529411764705884,23.529411764705884
Bundesliga,2010,STP,0.0,0.0
Bundesliga,2010,STU,35.294117647058826,35.294117647058826
Bundesliga,2010,WERB,29.411764705882355,29.411764705882355
Bundesliga,2010,WOB,17.647058823529413,17.647058823529413
Bundesliga,2011,AUG,23.529411764705884,23.529411764705884
Bundesliga,2011,BAY,94.11764705882354,94.11764705882354
Bundesliga,2011,DOR,100.0,100.0
Bundesliga,2011,FRE,35.294117647058826,35.294117647058826
Bundesliga,2011,HAM,17.647058823529413,17.647058823529413
Bundesliga,2011,HAN,64.70588235294117,64.70588235294117
Bundesliga,2011,HERT,11.764705882352942,11.764705882352942
Bundesliga,2011,HOF,41.1764705882353,41.1764705882353
Bundesliga,2011,KAI,0.0,0.0
Bundesliga,2011,KOL,5.882352941176471,5.882352941176471
Bundesliga,2011,LEVK,76.47058823529412,76.47058823529412
Bundesliga,2011,M'G,82.3529411764706,82.3529411764706
Bundesliga,2011,MAI,29.411764705882355,29.411764705882355
Bundesliga,2011,NUR,47.05882352941177,47.05882352941177
Bundesliga,2011,SCH,88.23529411764706,88.23529411764706
Bundesliga,2011,STU,70.58823529411765,70.58823529411765
Bundesliga,2011,WERB,52.94117647058824,52.94117647058824
Bundesliga,2011,WOB,58.82352941176471,58.82352941176471
Bundesliga,2012,AUG,17.647058823529413,17.647058823529413
Bundesliga,2012,BAY,100.0,100.0
Bundesliga,2012,DOR,94.11764705882354,94.11764705882354
Bundesliga,2012,EINF,70.58823529411765,70.58823529411765
Bundesliga,2012,FORD,5.882352941176471,5.882352941176471
Bundesliga,2012,FRE,76.47058823529412,76.47058823529412
Bundesliga,2012,GREF,0.0,0.0
Bundesliga,2012,HAM,64.70588235294117,64.70588235294117
Bundesliga,2012,HAN,52.94117647058824,52.94117647058824
Bundesliga,2012,HOF,11.764705882352942,11.764705882352942
Bundesliga,2012,LEVK,88.23529411764706,88.23529411764706
Bundesliga,2012,M'G,58.82352941176471,58.82352941176471
Bundesliga,2012,MAI,29.411764705882355,29.411764705882355
Bundesliga,2012,NUR,47.05882352941177,47.05882352941177
Bundesliga,2012,SCH,82.3529411764706,82.3529411764706
Bundesliga,2012,STU,35.294117647058826,35.294117647058826
Bundesliga,2012,WERB,23.529411764705884,23.529411764705884
Bundesliga,2012,WOB,41.1764705882353,41.1764705882353
Bundesliga,2013,AUG,58.82352941176471,58.82352941176471
Bundesliga,2013,BAY,100.0,100.0
Bundesliga,2013,BRA,0.0,0.0
Bundesliga,2013,DOR,94.11764705882354,94.11764705882354
Bundesliga,2013,EINF,29.411764705882355,29.411764705882355
Bundesliga,2013,FRE,23.529411764705884,23.529411764705884
Bundesliga,2013,HAM,11.764705882352942,11.764705882352942
Bundesliga,2013,HAN,47.05882352941177,47.05882352941177
Bundesliga,2013,HERT,41.1764705882353,41.1764705882353
Bundesliga,2013,HOF,52.94117647058824,52.94117647058824
Bundesliga,2013,LEVK,82.3529411764706,82.3529411764706
Bundesliga,2013,M'G,70.58823529411765,70.58823529411765
Bundesliga,2013,MAI,64.70588235294117,64.70588235294117
Bundesliga,2013,NUR,5.882352941176471,5.882352941176471
Bundesliga,2013,SCH,88.23529411764706,88.23529411764706
Bundesliga,2013,STU,17.647058823529413,17.647058823529413
Bundesliga,2013,WERB,35.294117647058826,35.294117647058826
Bundesliga,2013,WOB,76.47058823529412,76.47058823529412
Bundesliga,2014,AUG,76.47058823529412,76.47058823529412
Bundesliga,2014,BAY,100.0,100.0
Bundesliga,2014,DOR,64.70588235294117,64.70588235294117
Bundesliga,2014,EINF,52.94117647058824,52.94117647058824
Bundesliga,2014,FRE,5.882352941176471,5.882352941176471
Bundesliga,2014,HAM,11.764705882352942,11.764705882352942
Bundesliga,2014,HAN,29.411764705882355,29.411764705882355
Bundesliga,2014,HERT,17.647058823529413,17.647058823529413
Bundesliga,2014,HOF,58.82352941176471,58.82352941176471
Bundesliga,2014,KOL,35.294117647058826,35.294117647058826
Bundesliga,2014,LEVK,82.3529411764706,82.3529411764706
Bundesliga,2014,M'G,88.23529411764706,88.23529411764706
Bundesliga,2014,MAI,41.1764705882353,41.1764705882353
Bundesliga,2014,PAD,0.0,0.0
Bundesliga,2014,SCH,70.58823529411765,70.58823529411765
Bundesliga,2014,STU,23.529411764705884,23.529411764705884
Bundesliga,2014,WERB,47.05882352941177,47.05882352941177
Bundesliga,2014,WOB,94.11764705882354,94.11764705882354
Bundesliga,2015,AUG,35.294117647058826,35.294117647058826
Bundesliga,2015,BAY,100.0,100.0
Bundesliga,2015,DAR,23.529411764705884,23.529411764705884
Bundesliga,2015,DOR,94.11764705882354,94.11764705882354
Bundesliga,2015,EINF,11.764705882352942,11.764705882352942
Bundesliga,2015,HAM,47.05882352941177,47.05882352941177
Bundesliga,2015,HAN,0.0,0.0
Bundesliga,2015,HERT,64.70588235294117,64.70588235294117
Bundesliga,2015,HOF,17.647058823529413,17.647058823529413
Bundesliga,2015,ING,41.1764705882353,41.1764705882353
Bundesliga,2015,KOL,52.94117647058824,52.94117647058824
Bundesliga,2015,LEVK,88.23529411764706,88.23529411764706
