team,season,first_half_points,second_half_points,league
NUR,2010,70.58823529411765,70.58823529411765,Bundesliga
SCH,2010,23.529411764705884,23.529411764705884,Bundesliga
STP,2010,0.0,0.0,Bundesliga
STU,2010,35.294117647058826,35.294117647058826,Bundesliga
WERB,2010,29.411764705882355,29.411764705882355,Bundesliga
WOB,2010,17.647058823529413,17.647058823529413,Bundesliga
AUG,2011,23.529411764705884,23.529411764705884,Bundesliga
BAY,2011,94.11764705882354,94.11764705882354,Bundesliga
DOR,2011,100.0,100.0,Bundesliga
FRE,2011,35.294117647058826,35.294117647058826,Bundesliga
HAM,2011,17.647058823529413,17.647058823529413,Bundesliga
HAN,2011,64.70588235294117,64.70588235294117,Bundesliga
HERT,2011,11.764705882352942,11.764705882352942,Bundesliga
HOF,2011,41.1764705882353,41.1764705882353,Bundesliga
KAI,2011,0.0,0.0,Bundesliga
KOL,2011,5.882352941176471,5.882352941176471,Bundesliga
LEVK,2011,76.47058823529412,76.47058823529412,Bundesliga
M'G,2011,82.3529411764706,82.3529411764706,Bundesliga
MAI,2011,29.411764705882355,29.411764705882355,Bundesliga
NUR,2011,47.05882352941177,47.05882352941177,Bundesliga
SCH,2011,88.23529411764706,88.23529411764706,Bundesliga
STU,2011,70.58823529411765,70.58823529411765,Bundesliga
WERB,2011,52.94117647058824,52.94117647058824,Bundesliga
WOB,2011,58.82352941176471,58.82352941176471,Bundesliga
AUG,2012,17.647058823529413,17.647058823529413,Bundesliga
BAY,2012,100.0,100.0,Bundesliga
DOR,2012,94.11764705882354,94.11764705882354,Bundesliga
EINF,2012,70.58823529411765,70.58823529411765,Bundesliga
FORD,2012,5.882352941176471,5.882352941176471,Bundesliga
FRE,2012,76.47058823529412,76.47058823529412,Bundesliga
GREF,2012,0.0,0.0,Bundesliga
HAM,2012,64.70588235294117,64.70588235294117,Bundesliga
HAN,2012,52.94117647058824,52.94117647058824,Bundesliga
HOF,2012,11.764705882352942,11.764705882352942,Bundesliga
LEVK,2012,88.23529411764706,88.23529411764706,Bundesliga
M'G,2012,58.82352941176471,58.82352941176471,Bundesliga
MAI,2012,29.411764705882355,29.411764705882355,Bundesliga
NUR,2012,47.05882352941177,47.05882352941177,Bundesliga
SCH,2012,82.3529411764706,82.3529411764706,Bundesliga
STU,2012,35.294117647058826,35.294117647058826,Bundesliga
WERB,2012,23.529411764705884,23.529411764705884,Bundesliga
WOB,2012,41.1764705882353,41.1764705882353,Bundesliga
AUG,2013,58.82352941176471,58.82352941176471,Bundesliga
BAY,2013,100.0,100.0,Bundesliga
BRA,2013,0.0,0.0,Bundesliga
